wavelengths,flux
0.95,-37.26763747302105
0.9515856236786469,-37.23264991794194
0.9531712473572939,-37.2589183695507
0.9547568710359408,-37.218475709859774
0.9563424947145877,-37.2345741306867
0.9579281183932347,-37.2425980541903
0.9595137420718816,-37.22859949199397
0.9610993657505285,-37.24965887318915
0.9626849894291755,-37.206972867111396
0.9642706131078224,-37.239695598886264
0.9658562367864693,-37.208095818573014
0.9674418604651163,-37.220490218096465
0.9690274841437632,-37.21753726759926
0.9706131078224101,-37.18934319587852
0.9721987315010571,-37.21746673853179
0.973784355179704,-37.16821778016226
0.9753699788583509,-37.17192769447684
0.9769556025369979,-37.194977748552425
0.9785412262156448,-37.13439826963971
0.9801268498942917,-37.16202794019347
0.9817124735729387,-37.17276633558398
0.9832980972515856,-37.11917279461071
0.9848837209302326,-37.136542898325594
0.9864693446088795,-37.15382457110419
0.9880549682875264,-37.12655768688256
0.9896405919661733,-37.111764539215955
0.9912262156448203,-37.13188299794515
0.9928118393234672,-37.11139439329104
0.9943974630021142,-37.09449554254037
0.9959830866807611,-37.10401146148259
0.997568710359408,-37.09765932354736
0.999154334038055,-37.08728531358891
1.0007399577167018,-37.083835691104284
1.0023255813953489,-37.079936422231256
1.0039112050739958,-37.07539501801836
1.0054968287526427,-37.071525478933346
1.0070824524312896,-37.06115966514174
1.0086680761099365,-37.05272374076885
1.0102536997885834,-37.05454910362691
1.0118393234672305,-37.04600851202235
1.0134249471458774,-37.03557409724692
1.0150105708245243,-37.03111053391178
1.0165961945031712,-37.02935775156362
1.018181818181818,-37.02178063173885
1.019767441860465,-37.02467691446702
1.021353065539112,-37.01667796859814
1.022938689217759,-37.01056039366909
1.0245243128964059,-37.00783994506106
1.0261099365750528,-37.00001165976512
1.0276955602536997,-36.99199659139958
1.0292811839323468,-36.99238515815707
1.0308668076109937,-36.98503900721049
1.0324524312896406,-36.979779255797546
1.0340380549682875,-36.977121794332305
1.0356236786469344,-36.97367410666678
1.0372093023255813,-36.96679239945094
1.0387949260042282,-36.96184604160152
1.0403805496828753,-36.959991511548104
1.0419661733615222,-36.9539383660804
1.043551797040169,-36.9503617394072
1.045137420718816,-36.946760508096055
1.0467230443974629,-36.93886910940211
1.04830866807611,-36.937017360420576
1.049894291754757,-36.93285372939008
1.0514799154334038,-36.92677936962947
1.0530655391120507,-36.926445895463516
1.0546511627906976,-36.92046889325831
1.0562367864693445,-36.914194744375024
1.0578224101479916,-36.91399088227078
1.0594080338266385,-36.90874360747581
1.0609936575052854,-36.904701876667005
1.0625792811839323,-36.90142958661162
1.0641649048625792,-36.89698181822248
1.065750528541226,-36.893125149661365
1.0673361522198732,-36.890391916358794
1.06892177589852,-36.88568114033109
1.070507399577167,-36.88136291537182
1.072093023255814,-36.879384740147415
1.0736786469344608,-36.87394504739455
1.0752642706131077,-36.86975855873033
1.0768498942917548,-36.86612656560188
1.0784355179704017,-36.862489036791764
1.0800211416490486,-36.85963073175835
1.0816067653276955,-36.8561885892517
1.0831923890063424,-36.852213745537824
1.0847780126849895,-36.847560361319886
1.0863636363636364,-36.84461019474861
1.0879492600422833,-36.839619221814644
1.0895348837209302,-36.836329339207474
1.091120507399577,-36.8329631908404
1.092706131078224,-36.82914553970062
1.094291754756871,-36.82531415978106
1.095877378435518,-36.82160798958447
1.097463002114165,-36.81863658386787
1.0990486257928118,-36.814954976593434
1.1006342494714587,-36.81166221032972
1.1022198731501056,-36.80755673867557
1.1038054968287527,-36.80445872782402
1.1053911205073996,-36.8011909526095
1.1069767441860465,-36.79761247038637
1.1085623678646934,-36.793727855582276
1.1101479915433403,-36.790690618735674
1.1117336152219872,-36.78696588126398
1.1133192389006341,-36.78400483656982
1.1149048625792812,-36.78005274408975
1.1164904862579281,-36.77714997682155
1.118076109936575,-36.77285499719572
1.119661733615222,-36.77101362182562
1.1212473572938688,-36.767172808644965
1.122832980972516,-36.76458724781528
1.1244186046511628,-36.760152262027226
1.1260042283298097,-36.75749501803333
1.1275898520084566,-36.754300210240494
1.1291754756871035,-36.75092267477237
1.1307610993657504,-36.748794807593576
1.1323467230443973,-36.74433505735851
1.1339323467230444,-36.74214598017277
1.1355179704016913,-36.73878613087006
1.1371035940803382,-36.73622880399505
1.1386892177589851,-36.73283141174138
1.140274841437632,-36.729729335626324
1.1418604651162791,-36.72708744389482
1.143446088794926,-36.72173817430711
1.145031712473573,-36.72172841748821
1.1466173361522198,-36.71629440322363
1.1482029598308667,-36.71571991369165
1.1497885835095136,-36.7109570262886
1.1513742071881607,-36.706858286292544
1.1529598308668076,-36.70547969348208
1.1545454545454545,-36.70264035348257
1.1561310782241014,-36.69892037524876
1.1577167019027483,-36.69630573684105
1.1593023255813952,-36.69330797407066
1.1608879492600424,-36.69121088515875
1.1624735729386892,-36.69407249619774
1.1640591966173361,-36.68573234971729
1.165644820295983,-36.686553788090784
1.16723044397463,-36.690785752879606
1.1688160676532768,-36.68611492792878
1.170401691331924,-36.688239292371165
1.1719873150105709,-36.696540035000645
1.1735729386892177,-36.69654148461877
1.1751585623678646,-36.70433722732654
1.1767441860465115,-36.688458752645815
1.1783298097251587,-36.70830162724964
1.1799154334038056,-36.70197099100109
1.1815010570824525,-36.69544962516389
1.1830866807610994,-36.72806423808901
1.1846723044397462,-36.71140638202588
1.1862579281183931,-36.71104119063428
1.18784355179704,-36.71084186294916
1.1894291754756872,-36.73997188061506
1.191014799154334,-36.70622023320924
1.192600422832981,-36.750759246911755
1.1941860465116279,-36.709106345951106
1.1957716701902747,-36.73028559178541
1.1973572938689219,-36.78459094889858
1.1989429175475688,-36.714038486183675
1.2005285412262157,-36.750224861015475
1.2021141649048626,-36.72050603623765
1.2036997885835095,-36.75453958261514
1.2052854122621564,-36.77446211976442
1.2068710359408032,-36.734226581736145
1.2084566596194504,-36.72970711156328
1.2100422832980973,-36.77042504942637
1.2116279069767442,-36.690502372626916
1.213213530655391,-36.74355517125681
1.2147991543340382,-36.71225514151626
1.216384778012685,-36.68979810302438
1.217970401691332,-36.70348965137633
1.2195560253699789,-36.65987600703163
1.2211416490486258,-36.65994665658584
1.2227272727272727,-36.659707985547556
1.2243128964059196,-36.684363884038035
1.2258985200845665,-36.67148809150456
1.2274841437632136,-36.65060122122985
1.2290697674418605,-36.70840463735522
1.2306553911205074,-36.88274464595048
1.2322410147991543,-36.757680135719696
1.2338266384778014,-36.66626568092142
1.2354122621564483,-36.6466672656627
1.2369978858350952,-36.63932441021383
1.238583509513742,-36.63552610229818
1.240169133192389,-36.64297606483371
1.2417547568710359,-36.640679033189016
1.2433403805496828,-36.65098119325605
1.2449260042283297,-36.64370742276168
1.2465116279069768,-36.636914174821555
1.2480972515856237,-36.656945442877166
1.2496828752642706,-36.60656936717916
1.2512684989429175,-36.628915901769965
1.2528541226215646,-36.614596431335755
1.2544397463002115,-36.61407962113375
1.2560253699788584,-36.646539016573854
1.2576109936575053,-36.6698477477139
1.2591966173361522,-36.5994769335052
1.260782241014799,-36.653373895215395
1.262367864693446,-36.65049697703128
1.263953488372093,-36.60939615943663
1.26553911205074,-36.6139972219577
1.2671247357293869,-36.646005273565514
1.2687103594080338,-36.62572392837265
1.2702959830866807,-36.61866277165327
1.2718816067653278,-36.60097018975424
1.2734672304439747,-36.647094759149276
1.2750528541226216,-36.58535544181433
1.2766384778012685,-36.60031666764105
1.2782241014799154,-36.621125740154255
1.2798097251585623,-36.609736697980594
1.2813953488372092,-36.60565723096709
1.2829809725158563,-36.59252422834997
1.2845665961945032,-36.65625578687919
1.28615221987315,-36.59456927666164
1.287737843551797,-36.5891004055548
1.2893234672304439,-36.61927834317709
1.290909090909091,-36.563887714475925
1.292494714587738,-36.549219231672836
1.2940803382663848,-36.53573788719082
1.2956659619450317,-36.548968584600566
1.2972515856236786,-36.545281595480226
1.2988372093023255,-36.513967806645795
1.3004228329809724,-36.52822489162139
1.3020084566596195,-36.527511106968404
1.3035940803382664,-36.507381687008795
1.3051797040169133,-36.516923111871456
1.3067653276955602,-36.49456516732101
1.3083509513742073,-36.50332766402738
1.3099365750528542,-36.47954172956931
1.311522198731501,-36.49030388427785
1.313107822410148,-36.48193160614937
1.314693446088795,-36.47077481435339
1.3162790697674418,-36.46406243198556
1.3178646934460887,-36.46901648930085
1.3194503171247356,-36.46075226034871
1.3210359408033827,-36.4506799514869
1.3226215644820296,-36.452421764271286
1.3242071881606765,-36.458036943699284
1.3257928118393234,-36.438980452881246
1.3273784355179705,-36.42969768929391
1.3289640591966174,-36.443081907110184
1.3305496828752643,-36.433077095800996
1.3321353065539112,-36.42901881770799
1.333720930232558,-36.421765236509295
1.335306553911205,-36.42486208590306
1.336892177589852,-36.420196914880314
1.338477801268499,-36.418332161967726
1.340063424947146,-36.40849805938936
1.3416490486257928,-36.408730405234174
1.3432346723044397,-36.407487541287296
1.3448202959830866,-36.40102013173511
1.3464059196617337,-36.39848933684934
1.3479915433403806,-36.39789583845678
1.3495771670190275,-36.39314449490424
1.3511627906976744,-36.39178440871582
1.3527484143763213,-36.391256334866284
1.3543340380549682,-36.381279270309804
1.3559196617336151,-36.381710894657616
1.3575052854122622,-36.38119276246844
1.3590909090909091,-36.37544036260486
1.360676532769556,-36.371717635674564
1.362262156448203,-36.371298732265885
1.3638477801268498,-36.370534834858766
1.365433403805497,-36.3643902554515
1.3670190274841438,-36.36406636882409
1.3686046511627907,-36.36096038059425
1.3701902748414376,-36.356135720909315
1.3717758985200845,-36.3557573087297
1.3733615221987314,-36.35366461333263
1.3749471458773783,-36.34905438757565
1.3765327695560254,-36.3535027935384
1.3781183932346723,-36.34483871512572
1.3797040169133192,-36.34288016462196
1.3812896405919661,-36.340771762926174
1.3828752642706132,-36.34008955101581
1.3844608879492601,-36.3359653884548
1.386046511627907,-36.334999208539614
1.387632135306554,-36.3395862668641
1.3892177589852008,-36.33256299275978
1.3908033826638477,-36.328545751826894
1.3923890063424946,-36.325940663075684
1.3939746300211415,-36.32398125270305
1.3955602536997886,-36.32438412381072
